인덱스,장르,유튜버아이디,구독자 수,유튜브링크,인스타 링크,인스타 링크 2,인스타 링크3
130,asmr,asmr yeonchu 연츄,15만,UCjypzyxU_p0_0ElbWSi8QQw,https://www.instagram.com/y.zzu/,,
131,asmr,Eunzel ASMR 은젤,29만,UCS5qmPFj36fK7fML6gYcZSQ,https://www.instagram.com/eunbar/,,
132,asmr,April ASMR,43만,UCNm8ShHtwOPFl3Y375AHeUA,https://www.instagram.com/April.ASMR/,,
133,asmr,밤하느리ASMR,20만,UCQeXy0FwvVQD1o0axg6x42A,https://www.instagram.com/minhwa.g/,,
134,asmr,Babzi ASMR,24만,UCTfcXAPxCIn8fyKrRDqQ6dA,https://www.instagram.com/babzi_asmr/,,
135,asmr,Suzevi ASMR,24만,UC_FPZVB4NDds9JUEOjmI5cQ,https://www.instagram.com/suzevi_asmr/,,
136,크리에이티브,코이티비KOITV,66만,UCLvaHVogti2o0AkXoNZzeKA,https://www.instagram.com/redhatsg/?hl=ko,,
137,크리에이티브,영알남YAN,67만,UCHpIHu4LzmNuD8bsE6mZLSA,https://www.instagram.com/yan.youtube/,,
138,크리에이티브,박막례 할머니 Korea Grandma,95만,UCN8CPzwkYiDVLZlgD4JQgJQ,https://www.instagram.com/korea_grandma/,,
139,크리에이티브,긱블 Geekble,29만,UCp94pzrtA5wPyZazbDq0CXA,https://www.instagram.com/hoo.4u,,
140,크리에이티브,맛상무,47만,UC1r112Pr9Ngcg2NtcE946HQ,https://www.instagram.com/matsangmu/?hl=ko,,
141,크리에이티브,셀프어쿠스틱selfacoustic,95만,UC_AIPNN0uH7H7p9e8lnVMVQ,https://www.instagram.com/selfacoustic/,,
142,크리에이티브,JAYKEEOUT x VWVB,81만,UCyTQoMLiPfsRLHBJBtMXKYg,https://www.instagram.com/jaykeeout/,https://www.instagram.com/geekble_easyone,
143,크리에이티브,PrettyHerb,83만,UCtCnnCUn9IDDQRU9_04JD3g,https://www.instagram.com/gjqm056/,,
144,크리에이티브,코리안브로스 KOREAN BROS ENT,31만,UCIB_oNqi62rKnPFb3Toaozw,https://www.instagram.com/jk_tv/,,
145,크리에이티브,다다리빙 DADA Living,21만,UC4ZOrJ0xNrUsVdX64M8atHQ,https://www.instagram.com/dada_living/,,
146,크리에이티브,대생가족 DSF,79만,UC24BfKRQk_5uZomn0DxW2Ew,https://www.instagram.com/gdsfamily4/,,
147,크리에이티브,Ripple_S,51만,UCCjJV_nxuPQ_fWGkAkA46fA,https://www.instagram.com/official_ripple/,,
148,크리에이티브,보이즈빌리지(BOYS VILLAGE),54만,UCuSaFvVbK9QpZlbn8Vf34RA,https://www.instagram.com/videovillage_official/,,
